Thời gian,positive,neutral,negative,số_bài_báo
2025-03-27,0.0007,0.9639,0.0354,1
2025-04-03,0.6298,0.369,0.0011,3
2025-04-10,0.0326,0.8958,0.0715,4
2025-04-15,0.1953,0.7849,0.0197,5
2025-04-16,0.0026,0.9948,0.0026,4
2025-04-21,0.9859,0.0135,0.0006,1
2025-04-22,0.4019,0.5967,0.0014,2
2025-04-23,0.0022,0.9958,0.002,3
2025-04-25,0.4972,0.502,0.0008,2
2025-04-26,0.9169,0.0707,0.0124,2
2025-04-28,0.0031,0.9964,0.0004,1
2025-04-29,0.131,0.868,0.001,5
2025-05-03,0.9767,0.0225,0.0008,1
2025-05-06,0.0007,0.9957,0.0036,2
2025-05-07,0.9456,0.0539,0.0005,1
2025-05-12,0.2732,0.7259,0.0009,6
2025-05-14,0.4857,0.5134,0.0009,2
2025-05-16,0.9996,0.0002,0.0002,1
2025-05-19,0.7357,0.2626,0.0017,2
2025-05-20,0.0016,0.9363,0.062,1
2025-05-21,0.0016,0.9845,0.0139,1
2025-05-23,0.9978,0.0014,0.0008,1
2025-05-27,0.9422,0.0573,0.0006,1
2025-05-28,0.0018,0.9962,0.002,4
2025-05-30,0.9122,0.0551,0.0327,2
2025-06-03,0.9953,0.0043,0.0005,1
2025-06-04,0.001,0.9985,0.0004,1
2025-06-05,0.003,0.9937,0.0033,3
2025-06-06,0.0052,0.9939,0.0009,2
2025-06-11,0.3237,0.6747,0.0016,2
2025-06-12,0.8869,0.1108,0.0022,1
2025-06-13,0.0007,0.9985,0.0008,2
2025-06-16,0.001,0.998,0.001,2
2025-06-19,0.9032,0.0958,0.0011,1
2025-06-20,0.0009,0.99,0.0091,1
2025-06-23,0.0009,0.9974,0.0018,1
2025-06-24,0.0333,0.9291,0.0376,1
2025-06-25,0.0016,0.9971,0.0013,2
2025-06-26,0.4543,0.5321,0.0136,2
2025-06-27,0.7964,0.1892,0.0144,2
2025-06-30,0.868,0.0653,0.0667,1
2025-07-01,0.004,0.993,0.0029,1
2025-07-02,0.2818,0.7156,0.0026,3
2025-07-04,0.0018,0.6411,0.3572,2
2025-07-09,0.0013,0.9982,0.0005,2
2025-07-10,0.9983,0.0014,0.0003,1
2025-07-14,0.008,0.9814,0.0106,2
2025-07-15,0.1335,0.8495,0.017,8
2025-07-17,0.0019,0.9814,0.0167,1
2025-07-22,0.3062,0.6576,0.0362,3
2025-07-24,0.5051,0.3541,0.1408,1
2025-07-29,0.2863,0.7104,0.0033,5
2025-07-30,0.1746,0.7969,0.0285,11
2025-07-31,0.9271,0.0605,0.0124,1
2025-08-01,0.4816,0.5168,0.0017,2
2025-08-02,0.6233,0.3757,0.001,1
2025-08-04,0.0021,0.9924,0.0055,3
2025-08-05,0.5699,0.4287,0.0014,5
2025-08-07,0.003,0.9961,0.001,2
2025-08-11,0.5238,0.4747,0.0015,2
2025-08-12,0.0146,0.9727,0.0127,3
2025-08-18,0.3187,0.6618,0.0196,2
2025-08-19,0.9977,0.002,0.0003,1
2025-08-20,0.9014,0.0975,0.001,1
2025-08-22,0.7422,0.2559,0.0019,1
2025-08-26,0.5327,0.4665,0.0008,1
2025-08-27,0.9938,0.0056,0.0006,2
2025-08-28,0.4974,0.5004,0.0022,2
2025-08-30,0.7459,0.2535,0.0006,1
2025-09-08,0.9949,0.0047,0.0004,1
2025-09-11,0.0019,0.9949,0.0032,2
2025-09-12,0.9123,0.0869,0.0007,2
2025-09-15,0.1719,0.7041,0.124,3
2025-09-16,0.0008,0.9975,0.0017,1
2025-09-17,0.0044,0.9942,0.0014,3
2025-09-18,0.0233,0.9651,0.0116,1
2025-09-24,0.0044,0.8129,0.1826,1
2025-09-25,0.003,0.986,0.0111,4
2025-09-29,0.0052,0.1213,0.8735,1
2025-09-30,0.0313,0.8044,0.1642,3
2025-10-07,0.0602,0.9304,0.0094,2
2025-10-09,0.0041,0.9859,0.01,1
2025-10-15,0.0019,0.9941,0.004,2
2025-10-20,0.017,0.5804,0.4026,2
2025-10-21,0.3077,0.3862,0.3061,1
2025-10-24,0.0009,0.9972,0.0019,2
