Thời gian,Tiêu đề,URL,Nội dung
2023-03-31 18:03:00,DGC: Nghị quyết HĐQT thông qua phương án chốt danh sách cổ đông trả cổ tức còn lại năm 2022,https://cafef.vn/du-lieu/dgc-288311/dgc-nghi-quyet-hdqt-thong-qua-phuong-an-chot-danh-sach-co-dong-tra-co-tuc-con-lai-nam-2022.chn,
2023-03-31 00:17:00,"Cùng ""bố làm Chủ tịch, con làm TGĐ"": Hòa Bình (HBC) đi đến nội chiến, Hóa chất Đức Giang ""bình chân như vại""",https://cafef.vn/du-lieu/dgc-290111/cung-bo-lam-chu-tich-con-lam-tgd-hoa-binh-hbc-di-den-noi-chien-hoa-chat-duc-giang-binh-chan-nhu-vai.chn,
2023-03-30 16:04:00,DGC: Nghị quyết và biên bản họp ĐHĐCĐ thường niên 2023,https://cafef.vn/du-lieu/dgc-291011/dgc-nghi-quyet-va-bien-ban-hop-dhdcd-thuong-nien-2023.chn,
2023-03-29 13:32:00,"1 cổ đông ""bị kẹp"" DGC giá 140.000 đồng đề nghị Chủ tịch mua vào, ông Đào Hữu Huyền: ""Lúc giá thấp tôi có mua cổ phiếu, và hiện tại tôi đang lỗ""",https://cafef.vn/du-lieu/dgc-293519/1-co-dong-bi-kep-dgc-gia-140000-dong-de-nghi-chu-tich-mua-vao-ong-dao-huu-huyen-luc-gia-thap-toi-co-mua-co-phieu-va-hien-tai-toi-dang-lo.chn,
2023-03-29 09:55:00,"ĐHCĐ DGC: Nâng tỷ lệ chia cổ tức lên 40%, tham vọng sản xuất pin lithium cho xe điện, tiết lộ tiến độ hợp tác với VinFast",https://cafef.vn/du-lieu/dgc-293978/dhcd-dgc-nang-ty-le-chia-co-tuc-len-40-tham-vong-san-xuat-pin-lithium-cho-xe-dien-tiet-lo-tien-do-hop-tac-voi-vinfast.chn,
2023-03-24 14:48:00,DGC: Thực hiện mua thành công 51% cổ phần của Công ty CP Ắc quy Tia Sáng,https://cafef.vn/du-lieu/dgc-299936/dgc-thuc-hien-mua-thanh-cong-51-co-phan-cua-cong-ty-cp-ac-quy-tia-sang.chn,
2023-03-15 14:41:00,Hóa chất Đức Giang sắp nhận chuyển nhượng gần 46% vốn một công ty ắc quy từ con dâu Chủ tịch,https://cafef.vn/du-lieu/dgc-306092/hoa-chat-duc-giang-sap-nhan-chuyen-nhuong-gan-46-von-mot-cong-ty-ac-quy-tu-con-dau-chu-tich.chn,
2023-03-15 14:41:00,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài,https://cafef.vn/du-lieu/dgc-306095/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-nha-dau-tu-nuoc-ngoai.chn,
2023-03-14 16:40:00,DGC: Nghị quyết HĐQT v/v thông qua giao dịch mua bán cổ phiếu TSB với người có liên quan,https://cafef.vn/du-lieu/dgc-306713/dgc-nghi-quyet-hdqt-vv-thong-qua-giao-dich-mua-ban-co-phieu-tsb-voi-nguoi-co-lien-quan.chn,
2023-03-06 11:17:00,"Dự báo nhiều thách thức, Hóa Chất Đức Giang (DGC) lên kế hoạch lợi nhuận 2023 giảm một nửa, cổ tức duy trì ở mức 30%",https://cafef.vn/du-lieu/dgc-312581/du-bao-nhieu-thach-thuc-hoa-chat-duc-giang-dgc-len-ke-hoach-loi-nhuan-2023-giam-mot-nua-co-tuc-duy-tri-o-muc-30.chn,
