Thời gian,positive,neutral,negative,số_bài_báo
2025-06-14,0.3919,0.6071,0.001,1
2025-06-19,0.2522,0.7458,0.002,1
2025-06-22,0.6897,0.3078,0.0025,1
2025-06-23,0.9255,0.0679,0.0066,1
2025-06-24,0.5357,0.4625,0.0019,2
2025-06-27,0.508,0.484,0.008,3
2025-06-30,0.868,0.0653,0.0667,1
2025-07-01,0.2275,0.7511,0.0214,1
2025-07-02,0.8405,0.1588,0.0007,1
2025-07-04,0.6074,0.375,0.0175,1
2025-07-05,0.4669,0.5264,0.0067,1
2025-07-10,0.5569,0.441,0.0021,2
2025-07-11,0.9845,0.0143,0.0013,1
2025-07-12,0.6932,0.3052,0.0016,2
2025-07-14,0.8184,0.1806,0.001,2
2025-07-15,0.8128,0.1867,0.0005,2
2025-07-17,0.8771,0.1213,0.0016,1
2025-07-20,0.5172,0.4716,0.0112,1
2025-07-21,0.7733,0.0991,0.1276,1
2025-07-22,0.5632,0.4013,0.0356,1
2025-07-23,0.0318,0.9678,0.0004,1
2025-07-24,0.7087,0.2733,0.018,1
2025-07-25,0.9506,0.0489,0.0005,1
2025-07-28,0.9834,0.0156,0.0009,1
2025-07-31,0.9949,0.0047,0.0004,1
2025-08-01,0.9114,0.087,0.0016,2
2025-08-02,0.6233,0.3757,0.001,1
2025-08-03,0.5112,0.4752,0.0136,1
2025-08-04,0.3075,0.6916,0.0009,2
2025-08-05,0.9651,0.0339,0.001,1
2025-08-10,0.7348,0.2644,0.0008,1
2025-08-11,0.9671,0.0325,0.0003,1
2025-08-14,0.4362,0.5449,0.019,2
2025-08-18,0.5978,0.3865,0.0157,1
2025-08-19,0.9742,0.025,0.0008,2
2025-08-25,0.7983,0.1997,0.002,2
2025-08-28,0.6736,0.3258,0.0006,1
2025-09-03,0.6325,0.3244,0.0431,3
2025-09-04,0.7787,0.1465,0.0748,3
2025-09-08,0.9949,0.0047,0.0004,1
2025-09-09,0.4445,0.1982,0.3573,4
2025-09-10,0.6814,0.1257,0.1929,1
2025-09-12,0.7608,0.0014,0.2379,1
2025-09-15,0.8481,0.1507,0.0011,2
2025-09-16,0.4025,0.0959,0.5016,1
2025-09-17,0.9524,0.0461,0.0015,2
2025-09-18,0.9302,0.0684,0.0014,2
2025-09-19,0.6612,0.3384,0.0004,1
2025-09-20,0.8967,0.1026,0.0006,1
2025-09-21,0.5125,0.4869,0.0006,1
2025-09-22,0.288,0.7096,0.0024,1
